county,estabs_20175221,emplvl_20175221,estabs_20175222,emplvl_20175222,estabs_20175223,emplvl_20175223
20059,11,104,1,0,2,0
20061,19,151,7,0,2,0
20063,7,0,1,0,,
20067,3,0,,,,
20069,4,0,,,,
20071,1,0,1,0,,
20073,7,0,0,0,,
20075,2,0,,,,
20077,2,0,2,0,1,0
20079,20,229,2,0,1,0
20081,1,0,1,0,,
20083,2,0,,,,
20085,5,0,1,0,,
20087,6,39,,,,
20089,4,19,,,,
20091,266,6067,162,2812,99,1162
20093,2,0,,,,
20095,4,0,1,0,,
20097,2,0,,,,
20099,14,0,2,0,,
20101,2,0,,,,
20103,31,382,4,0,3,0
20105,4,39,,,,
20107,8,56,,,,
20109,3,0,,,,
20111,11,164,5,0,3,0
20113,24,259,1,0,1,0
20115,10,0,,,1,0
20117,10,0,1,0,,
20119,3,55,,,,
20121,13,0,2,0,,
20123,7,119,,,,
20125,20,191,4,0,1,0
20127,4,43,,,,
20129,1,0,,,,
20131,13,132,,,,
20133,15,0,1,0,,
20135,4,0,1,0,,
20137,4,0,2,0,,
20139,6,0,,,1,0
20141,5,44,,,,
20143,5,51,,,,
20145,4,0,1,0,,
20147,4,0,1,0,,
20149,13,197,4,0,1,0
20151,4,83,3,15,,
20153,2,0,,,,
20155,34,469,17,0,2,0
20157,5,0,1,0,,
20159,6,0,1,0,,
20161,29,610,8,16,3,6
20163,1,0,,,,
20165,4,27,,,,
20167,5,0,1,0,,
20169,26,318,9,30,4,11
20171,3,0,1,0,,
20173,178,2757,67,1281,21,157
20175,6,114,3,0,2,0
20177,92,1427,18,513,8,9
20179,3,22,,,,
20181,3,82,,,,
20183,2,0,,,,
20185,4,45,,,,
20187,1,0,,,,
20189,1,0,,,,
20191,11,0,1,0,,
20193,6,44,1,0,1,0
20195,2,0,,,,
20197,4,0,,,1,0
20199,1,0,,,,
20201,6,45,,,,
20203,2,0,,,,
20205,6,0,1,0,,
20207,3,0,,,,
20209,49,650,14,34,12,40
20999,10,170,11,24,11,38
21000,1889,25372,827,4907,525,4012
21001,9,129,3,0,2,0
21003,8,87,1,0,2,0
21005,6,69,1,0,4,0
21007,3,15,1,0,,
21009,22,260,11,52,6,25
21011,3,0,1,0,1,0
21013,13,180,6,0,2,0
21015,69,2097,23,0,23,0
21017,8,152,3,0,2,0
21019,32,395,11,45,9,21
21021,19,233,12,48,4,18
21023,4,0,,,,
21025,3,0,2,0,3,7
21027,7,109,3,0,1,0
21029,26,191,7,0,3,0
21031,5,0,,,1,0
21033,5,70,5,0,1,0
21035,17,180,9,32,3,8
21037,36,238,14,27,9,71
21039,3,0,1,0,,
21041,6,60,1,0,1,0
21043,11,157,4,0,4,0
21045,6,79,1,0,1,0
21047,25,367,18,98,8,12
21049,16,191,8,0,3,0
21051,5,0,4,20,1,0
21053,4,51,1,0,1,0
21055,5,60,1,0,1,0
21057,2,0,2,0,1,0
21059,58,2529,24,150,11,26
21061,2,0,,,,
21063,2,0,,,,
21065,4,48,2,0,2,0
21067,143,1778,56,353,34,153
21069,5,0,1,0,2,0
21071,14,130,7,16,5,9
21073,23,487,8,56,11,82
21075,4,0,1,0,,
21077,2,0,,,,
21079,5,38,2,0,1,0
21081,8,48,4,0,2,0
21083,12,196,7,20,3,7
21085,10,93,5,21,3,10
21087,3,0,1,0,,
21089,20,0,,,4,0
21091,6,0,1,0,,
21093,55,632,23,102,17,320
21095,11,71,7,12,5,7
21097,2,0,,,2,0
21099,6,0,1,0,,
21101,18,203,12,54,6,8
21103,7,65,,,,
21105,2,0,1,0,,
21107,27,226,12,55,4,7
21109,3,0,,,,
21111,314,4418,168,1903,117,1116
21113,23,151,8,19,3,8
21115,8,144,5,16,6,10
21117,73,574,21,168,15,228
21119,3,0,1,0,,
21121,13,93,10,55,3,8
21123,8,109,,,,
21125,26,285,18,90,8,20
21127,5,39,3,12,3,6
21129,1,0,1,0,1,0
21131,1,0,1,0,,
21133,10,0,,,3,0
21135,5,0,,,,
21137,7,63,3,0,1,0
21139,3,0,,,,
21141,12,119,6,0,2,0
21143,3,0,,,,
21145,40,447,17,84,13,55
21147,4,0,3,14,2,0
21149,7,47,,,,
21151,42,261,21,85,9,19
21153,3,38,4,0,2,0
21155,7,92,3,0,1,0
21157,11,249,1,0,1,0
21159,3,0,,,,
21161,5,82,9,34,5,7
21163,5,79,2,0,2,0
21165,1,0,,,,
21167,11,0,,,2,0
21169,5,0,,,,
21171,7,50,1,0,2,0
21173,14,174,7,29,4,8
21175,7,87,1,0,2,0
21177,11,84,5,16,4,7
21179,19,211,8,0,4,0
21181,1,0,,,,
21183,8,89,3,0,2,0
21185,15,129,8,26,5,27
21187,5,40,,,,
21189,1,0,,,,
21191,5,0,1,0,,
21193,16,184,5,16,6,16
21195,29,310,8,21,9,208
21197,5,51,1,0,1,0
21199,31,371,16,72,8,18
21201,1,0,,,,
21203,6,60,1,0,1,0
21205,12,122,8,37,3,8
21207,8,99,2,0,2,0
21209,19,153,6,24,6,5
21211,16,190,8,42,3,7
21213,7,98,4,9,3,6
21215,2,0,,,,
21217,13,175,9,0,3,0
21219,8,60,0,0,1,0
21221,5,52,2,0,2,0
21223,2,0,1,0,,
21225,4,86,1,0,1,0
21227,68,821,27,183,14,35
21229,3,0,1,0,,
21231,8,116,4,0,2,0
21233,7,0,1,0,,
21235,15,142,7,18,5,9
21237,2,0,2,0,,
21239,11,132,2,0,1,0
21999,13,228,45,174,24,118
22000,1883,20835,1551,7725,303,1223
22001,23,257,23,0,1,0
22003,8,48,14,0,1,0
22005,30,231,51,0,4,0
22007,7,33,1,0,1,0
22009,14,262,20,0,1,0
22011,16,165,13,50,3,3
22013,11,76,4,16,,
22015,48,463,38,0,2,0
22017,103,997,79,398,21,41
22019,102,884,62,305,11,62
22021,4,0,3,0,,
22023,3,12,,,,
22025,6,69,1,0,1,0
22027,8,43,5,11,,
22029,8,91,7,0,1,0
22031,13,103,5,11,,
22033,201,2634,159,1117,45,230
22035,2,0,1,0,,
22037,9,0,1,0,,
22039,10,192,13,31,,
22041,6,70,11,36,,
22043,8,46,,,,
22045,29,343,37,124,3,8
22047,14,181,12,0,2,0
22049,6,77,7,18,,
22051,159,1801,115,658,41,80
22053,21,141,12,31,,
22055,119,1388,72,325,21,97
22057,45,302,43,131,4,5
22059,9,95,5,12,,
22061,24,248,15,0,2,0
22063,37,371,37,171,6,3
22065,5,31,6,0,,
22067,9,74,16,45,,
22069,22,185,20,0,3,0
22071,131,2483,60,548,32,88
22073,76,892,59,996,15,326
22075,6,49,3,7,,
22077,8,118,6,0,1,0
22079,72,669,59,265,5,18
22081,3,0,4,0,,
22083,8,126,9,33,,
22085,18,139,8,31,,
22087,9,80,6,0,2,0
22089,14,107,8,0,2,0
22091,3,0,2,0,,
22093,10,70,7,22,,
22095,11,92,16,0,2,0
22097,38,336,39,137,3,12
22099,16,169,10,30,,
22101,26,230,30,0,4,0
22103,112,1182,83,409,23,79
22105,43,342,61,267,6,20
22107,2,0,,,,
22109,45,542,45,170,7,14
22111,8,70,8,14,,
22113,19,293,18,0,2,0
22115,9,103,12,51,,
22117,19,151,24,73,,
22119,13,121,26,74,,
22121,8,35,4,0,1,0
22123,5,29,4,0,1,0
22125,4,53,,,,
22127,3,0,9,0,10,0
22999,9,58,28,89,16,43
23000,680,7658,121,1688,92,1319
23001,41,728,13,100,6,133
23003,40,0,1,0,,
23005,172,1682,47,679,45,1133
23007,17,0,,,1,0
23009,35,309,2,0,2,0
23011,59,658,5,7,3,4
23013,27,347,,,,
23015,19,244,2,0,2,0
23017,17,0,2,0,,
23019,80,973,11,70,4,4
23021,13,58,,,,
23023,15,242,2,0,1,0
23025,23,206,1,0,1,0
23027,11,60,6,0,1,0
23029,22,0,,,1,0
23031,88,1087,20,53,16,15
23999,3,22,9,0,9,0
24000,1960,23259,868,12484,464,7223
24001,38,374,6,20,5,18
24003,213,2003,62,704,31,890
24005,277,3595,151,2126,53,1354
24009,24,139,10,0,1,0
24011,13,0,2,0,,
24013,53,430,18,202,6,12
24015,32,193,7,0,1,0
24017,37,382,12,45,5,17
24019,13,78,4,13,1,0
24021,96,915,31,1875,15,127
24023,17,0,2,0,,
24025,88,1042,29,0,9,0
24027,95,1833,61,1434,32,305
24029,11,0,1,0,,
24031,354,3763,143,2159,88,970
24033,209,3455,68,704,56,204
24035,19,153,6,0,3,0
24037,28,280,13,0,1,0
24039,6,36,,,,
24041,20,140,6,0,1,0
24043,60,0,18,0,14,2183
24045,42,492,11,0,5,0
24047,39,281,8,22,,
24510,141,2565,61,596,41,154
24999,37,0,142,405,98,246
25000,2656,48601,538,6254,363,2683
25001,113,1299,9,24,12,65
25003,68,0,2,0,,
25005,205,2326,40,255,17,139
25007,20,194,,,,
25009,299,3723,43,624,35,158
25011,21,0,2,0,,
25013,162,1728,28,289,13,46
25015,63,967,3,0,1,0
25017,637,8692,108,1216,72,519
25019,9,0,1,0,,
25021,279,8030,56,708,44,219
25023,175,1743,47,459,16,50
25025,273,14334,76,1771,70,1116
25027,304,3847,58,516,33,252
25999,29,478,65,0,52,0
26000,3167,50224,530,12763,418,14316
26001,4,0,,,,
26003,4,61,,,,
26005,30,202,5,15,,
26007,13,232,1,0,1,0
26009,7,64,,,,
26011,7,0,1,0,,
26013,3,0,,,,
26015,11,80,5,0,,
26017,37,523,4,27,4,75
26019,8,138,,,,
26021,60,1261,4,0,4,0
26023,19,283,2,0,0,0
26025,36,532,4,0,5,0
26027,9,81,,,1,0
26029,9,81,1,0,1,0
26031,11,119,1,0,1,0
26033,15,222,,,,
26035,10,119,,,,
26037,19,133,3,0,2,0
26039,6,66,,,,
26041,18,368,1,0,1,0
26043,11,195,2,0,0,0
26045,36,440,6,41,3,6
26047,18,196,3,0,1,0
26049,108,1813,25,168,16,95
26051,6,39,1,0,,
26053,6,0,2,0,,
26055,41,793,5,0,2,0
26057,14,228,1,0,1,0
26059,11,164,2,0,1,0
26061,15,0,,,2,0
26063,21,0,2,0,,
26065,101,2219,12,161,13,121
26067,24,474,1,0,2,0
26069,10,152,,,,
26071,7,111,,,,
26073,19,595,3,11,3,7
26075,53,783,3,17,6,73
26077,76,3277,14,360,10,23
26079,3,0,,,1,0
26081,204,4480,40,702,23,192
26083,1,0,,,,
26085,3,0,,,,
26087,25,285,1,0,4,0
26089,9,43,,,,
26091,14,252,2,0,3,0
26093,44,381,14,46,10,19
26095,3,37,,,,
26097,9,0,,,,
26099,259,2575,27,842,28,221
26101,13,87,,,,
26103,31,425,1,0,3,0
26105,13,0,1,0,,
26107,11,0,1,0,,
26109,9,0,1,0,,
26111,25,0,,,2,0
26113,5,99,,,,
26115,40,455,3,0,1,0
26117,20,232,2,0,1,0
26119,4,0,,,,
26121,52,604,6,16,4,8
26123,7,99,1,0,,
26125,470,9055,98,5767,89,1378
26127,8,0,1,0,,
26129,10,77,,,,
26131,4,37,,,,
26133,9,59,,,,
26135,5,0,,,,
26137,11,0,1,0,,
26139,84,1072,6,63,4,12
26141,5,80,,,,
26143,11,86,,,,
26145,82,1350,7,148,5,7
26147,50,399,5,0,1,0
26149,28,0,4,0,,
26151,21,0,2,0,,
26153,6,0,,,1,0
26155,22,227,1,0,2,0
26157,17,0,1,0,,
26159,20,179,3,0,1,0
26161,110,1184,16,969,8,92
26163,418,6618,68,0,51,0
26165,16,96,2,0,2,0
26999,50,844,101,673,94,636
27000,1908,50991,517,8201,361,3715
27001,4,46,,,,
27003,71,845,19,110,9,35
27005,12,167,8,0,1,0
27007,18,260,2,0,1,0
27009,12,0,3,0,,
27011,3,0,1,0,,
27013,29,451,6,0,2,0
27015,15,325,,,,
27017,12,330,3,8,,
27019,32,330,6,0,4,0
27021,11,0,2,0,,
27023,8,147,,,,
27025,9,123,,,,
27027,22,0,5,0,,
27029,4,47,,,,
27031,4,0,,,,
27033,8,87,,,,
27035,38,536,3,0,1,0
27037,114,2762,31,462,19,508
27039,9,0,1,0,,
27041,21,242,4,0,2,0
27043,13,0,1,0,,
27045,16,156,,,,
27047,18,155,1,0,3,0
27049,22,251,2,0,1,0
27051,8,0,1,0,,
27053,343,23545,150,3887,128,1927
27055,8,87,,,,
27057,4,100,1,0,1,0
27059,9,162,,,,
27061,24,231,3,0,1,0
27063,9,56,,,,
27065,5,113,,,,
27067,19,312,3,0,2,0
27069,1,0,1,0,,
27071,7,123,,,,
27073,6,0,1,0,,
27075,8,89,,,,
27077,3,24,,,,
27079,12,0,1,0,,
27081,4,24,,,,
27083,12,737,4,30,,
27085,19,0,2,0,,
27087,3,49,,,,
27089,9,0,1,0,,
27091,16,0,1,0,,
27093,10,0,1,0,,
27095,11,0,2,0,,
27097,13,0,1,0,,
27099,19,0,1,0,,
27101,7,0,1,0,,
27103,11,0,1,0,,
27105,15,0,5,0,,
27107,6,0,1,0,,
27109,50,690,8,103,4,10
27111,28,330,3,21,,
27113,5,0,1,0,,
27115,10,0,2,0,,
27117,5,76,,,,
27119,16,151,3,0,1,0
27121,7,94,,,,
27123,126,5525,42,1221,37,225
27125,5,0,1,0,,
27127,12,0,1,0,,
27129,10,0,1,0,,
27131,19,289,2,0,2,0
27133,4,0,,,1,0
27135,6,0,1,0,,
27137,87,1155,7,27,3,5
27139,31,390,5,14,7,24
27141,18,0,,,4,0
27143,8,61,,,,
27145,68,2094,15,574,7,43
27147,19,201,1,0,1,0
27149,4,0,1,0,,
27151,9,76,,,,
27153,13,140,,,,
27155,4,25,,,,
27157,12,146,,,,
27159,7,100,,,,
27161,7,120,,,,
27163,64,913,17,484,19,224
27165,12,109,,,,
27167,3,0,1,0,,
27169,20,0,2,0,,
27171,33,393,2,0,4,0
27173,6,56,,,,
27999,40,816,126,364,99,322
28000,1208,14509,1036,4302,412,1193
28001,13,182,14,97,6,11
28003,18,151,22,70,4,9
28005,3,0,,,,
28007,6,72,9,34,5,8
28009,4,0,,,,
28011,20,152,8,20,5,11
28013,5,30,6,17,,
28015,3,20,,,,
28017,6,80,7,0,1,0
28019,2,0,2,0,,
28021,3,0,2,0,,
28023,4,44,2,0,2,0
28025,9,58,7,31,3,5
28027,15,128,11,36,5,9
28029,12,72,10,23,7,13
28031,8,82,5,11,5,8
28033,52,543,48,189,16,36
28035,35,714,31,111,11,24
28037,3,0,1,0,,
28039,7,109,9,0,2,0
28041,3,0,,,1,0
28043,13,105,15,53,3,7
28045,18,111,8,0,2,0
28047,83,1163,62,237,18,191
28049,89,1795,48,235,25,117
28051,6,59,1,0,1,0
28053,4,0,2,0,1,0
28055,2,0,,,,
28057,6,0,8,65,2,0
28059,55,604,32,123,15,35
28061,7,74,2,0,2,0
28063,2,0,,,,
28065,3,0,4,11,2,0
28067,23,352,25,132,10,25
28069,3,0,1,0,,
28071,26,247,13,95,4,12
28073,31,358,12,29,9,21
28075,34,473,40,154,12,37
28077,5,67,3,0,1,0
28079,5,105,9,0,1,0
28081,43,594,45,349,13,48
28083,16,137,17,0,5,0
28085,13,185,22,60,6,14
28087,29,259,20,58,11,30
28089,43,866,38,254,16,53
28091,9,174,14,47,6,17
28093,9,168,6,67,4,8
28095,15,110,14,41,5,11
28097,4,69,7,0,2,0
28099,14,94,18,0,2,0
28101,10,64,9,35,,
28103,3,0,3,6,1,0
28105,18,177,15,59,5,9
28107,15,195,16,58,6,12
28109,15,163,22,91,5,23
28111,5,0,,,,
28113,26,225,22,105,8,27
28115,10,118,6,17,4,8
28117,10,117,9,21,4,8
28119,4,35,2,0,1,0
28121,57,560,36,435,17,56
28123,9,144,10,40,4,12
28125,3,0,2,0,,
28127,9,176,12,35,3,7
28129,5,0,,,2,0
28131,6,94,2,0,8,0
28133,13,111,10,38,5,16
28135,5,0,1,0,,
28137,8,87,8,26,4,9
28139,9,97,7,0,2,0
28141,9,90,4,0,1,0
28143,5,45,4,7,4,8
28145,9,128,11,34,5,11
28147,4,38,3,0,2,0
28149,25,214,13,37,11,23
28151,25,184,18,60,10,19
28153,11,49,14,0,2,0
28155,2,0,3,7,1,0
28157,2,0,,,1,0
28159,8,53,3,9,5,9
28161,6,66,1,0,1,0
28163,7,75,5,15,3,10
28999,18,48,87,172,36,81
29000,2575,40328,1204,10623,393,6020
29001,10,138,5,11,,
29003,6,37,1,0,1,0
29005,5,35,,,,
29007,13,139,8,19,,
29009,21,209,7,0,3,0
29011,5,62,1,0,1,0
29013,10,0,,,,
29015,8,117,3,5,,
29017,5,37,,,,
29019,71,810,25,0,12,0
29021,36,407,29,132,3,3
29023,24,447,15,0,1,0
29025,4,52,,,,
29027,8,146,6,0,1,0
29029,26,289,8,0,2,0
29031,36,521,14,37,4,4
29033,7,113,,,,
29035,6,0,,,,
29037,35,336,15,40,3,4
29039,6,0,1,0,,
29041,6,138,,,,
29043,36,282,19,0,1,0
29045,5,62,,,,
29047,87,914,43,201,11,45
29049,9,112,4,10,,
29051,46,916,24,98,5,61
29053,14,90,5,13,,
29055,8,0,,,1,0
29057,4,23,,,,
29059,5,100,,,,
29061,4,39,,,,
29063,6,69,,,,
29065,5,0,1,0,,
29067,5,52,,,,
29069,13,162,17,42,,
29071,42,682,24,0,1,0
29073,9,0,1,0,,
29075,5,30,,,,
29077,156,2242,68,0,18,0
29079,5,40,1,0,1,0
29081,7,0,1,0,,
29083,12,98,6,19,,
29085,2,0,1,0,,
29087,7,38,,,,
29089,6,101,,,,
29091,12,227,13,0,2,0
29093,4,29,,,,
29095,242,5379,125,1253,47,599
29097,60,675,43,200,4,27
29099,57,622,38,86,8,76
29101,19,249,9,0,2,0
29103,2,0,,,,
29105,15,171,11,31,,
29107,16,0,2,0,,
29109,11,0,2,0,,
29111,7,88,,,,
29113,16,246,5,18,,
29115,6,63,,,,
29117,5,127,6,21,,
29119,9,0,2,0,,
29121,9,99,3,14,,
29123,4,56,,,,
29125,5,0,,,,
29127,21,243,12,76,,
29129,3,21,,,,
29131,10,0,1,0,,
29133,5,0,1,0,,
29135,6,76,,,,
29137,7,0,1,0,,
29139,12,73,,,,
29141,8,0,1,0,,
29143,9,0,2,0,,
29145,29,312,9,0,1,0
29147,9,115,3,23,,
29149,3,0,,,,
29151,9,79,,,,
29153,4,0,,,,
29155,6,116,4,0,2,0
29157,9,178,7,11,,
29159,14,174,15,47,,
29161,22,280,11,0,1,0
29163,8,111,3,0,1,0
29165,47,908,11,74,4,8
29167,11,0,2,0,,
29169,20,259,5,11,3,3
29171,3,48,,,,
29173,3,0,1,0,,
29175,13,200,11,120,,
29177,9,86,1,0,2,0
29179,3,0,,,,
29181,7,55,,,,
29183,139,1574,54,3330,26,126
29185,7,66,,,,
29186,7,0,1,0,,
29187,28,445,20,0,1,0
29189,442,7295,184,2124,90,919
29195,8,142,8,25,,
29197,3,0,,,,
29199,4,33,,,,
29201,18,221,11,0,3,0
29203,4,0,,,,
29205,5,42,,,,
29207,22,229,11,0,1,0
29209,15,100,2,0,3,0
29211,5,49,,,,
29213,25,301,6,0,2,0
29215,11,0,1,0,,
29217,9,355,10,0,2,0
29219,13,140,4,13,,
29221,7,0,2,0,,
29223,7,0,1,0,,
29225,15,0,2,0,,
29227,1,0,,,,
29229,11,0,3,0,,
29510,102,4936,39,261,23,514
29999,18,469,136,894,100,246
30000,485,6839,161,899,90,323
30001,5,0,1,0,,
30003,2,0,2,0,,
30005,3,0,,,,
30007,3,33,,,1,0
30009,5,44,1,0,0,0
30013,31,454,12,95,4,21
30015,4,0,1,0,,
30017,7,0,2,0,,
30019,2,0,,,,
30021,7,0,1,0,,
30023,6,0,1,0,,
30025,3,31,,,,
30027,6,0,1,0,,
30029,39,690,15,153,13,57
30031,43,708,18,55,13,49
30033,1,0,,,,
30035,4,0,2,0,,
30039,2,0,,,,
30041,7,0,2,0,,
30043,4,0,,,,
30045,1,0,,,,
30047,15,140,4,0,1,0
30049,33,473,12,0,3,0
30051,4,8,,,,
30053,8,0,1,0,,
30055,2,0,,,,
30057,5,49,,,,
30059,1,0,,,,
30061,3,0,,,,
30063,50,820,23,86,14,14
30065,3,18,,,,
30067,9,99,3,4,,
30071,3,0,1,0,,
30073,5,0,1,0,,
30075,1,0,,,,
30077,3,0,1,0,,
30079,1,0,,,,
30081,17,239,1,0,1,0
30083,4,0,1,0,,
30085,7,0,2,0,,
30087,5,43,,,,
30089,6,54,,,,
30091,4,41,,,,
30093,18,178,5,13,,
30095,4,19,,,,
30097,4,0,,,,
30099,4,0,,,,
30101,4,31,,,,
30103,1,0,,,,
30105,6,0,1,0,,
30107,2,0,,,,
30109,1,0,,,,
30111,60,1324,39,194,21,121
30999,6,0,10,0,19,18
31000,1087,14740,187,5818,284,4491
31001,16,181,1,0,3,0
31003,6,0,,,1,0
31007,1,0,,,,
31011,6,76,,,,
31013,10,76,1,0,1,0
31015,4,29,,,,
31017,2,0,,,,
31019,27,366,4,42,5,13
31021,5,0,2,0,,
31023,7,63,,,,
31025,12,0,,,1,0
31027,11,101,,,,
31029,5,0,1,0,,
31031,7,29,,,,
31033,9,84,1,0,2,0
31035,8,0,1,0,,
31037,6,62,,,,
31039,12,0,1,0,,
31041,12,0,1,0,,
31043,9,0,,,1,0
31045,7,0,,,1,0
31047,16,192,0,0,2,0
31049,1,0,,,,
31051,3,0,,,1,0
31053,24,274,2,0,3,0
31055,213,5015,55,2846,112,1084
31057,2,0,,,,
31059,8,88,,,,
31061,4,28,,,,
31063,4,0,,,,
31065,7,47,,,,
31067,18,124,1,0,3,0
31069,3,0,1,0,,
31071,3,0,,,,
31073,2,0,,,,
31077,5,30,,,,
31079,35,414,9,73,9,19
31081,6,79,,,,
31083,6,33,,,,
31085,1,0,,,,
31087,2,0,,,,
31089,8,0,1,0,,
31091,2,0,,,,
31093,5,41,,,,
31095,5,47,,,,
31097,6,42,,,,
31099,3,0,1,0,,
31101,5,0,,,1,0
31105,2,0,,,,
31107,8,0,1,0,,
31109,148,1988,25,2429,35,667
31111,19,251,4,87,6,14
31115,1,0,,,,
31117,1,0,,,,
31119,31,333,4,36,4,8
31121,7,69,,,,
31123,3,21,1,0,,
31125,3,35,,,,
31127,4,56,,,,
31129,6,59,,,,
31131,11,99,1,0,1,0
31133,6,26,,,,
31135,4,20,,,,
31137,8,83,,,,
31139,5,0,,,1,0
31141,27,303,8,48,6,19
31143,4,0,,,2,0
31145,10,138,2,0,2,0
31147,6,66,,,,
31149,1,0,,,,
31151,12,90,,,,
31153,51,542,12,0,17,0
31155,14,151,,,,
31157,23,306,6,31,7,69
31159,8,149,,,,
31161,4,0,1,0,,
31163,4,0,,,,
31165,1,0,,,,
31167,3,0,,,,
31169,8,102,,,,
31171,1,0,,,,
31173,3,0,,,,
31175,6,42,,,,
31177,10,0,2,0,,
31179,7,0,,,2,0
31181,3,0,,,,
31183,2,0,,,,
31185,20,0,,,1,0
31999,14,108,38,88,55,111
32000,628,8630,780,8831,332,2142
32001,8,62,11,29,,
32003,421,6021,551,7447,257,1830
32005,14,108,14,33,13,54
32007,15,150,12,0,2,0
32011,1,0,,,,
32013,6,36,4,10,,
32015,1,0,,,,
32017,3,0,,,,
32019,8,73,13,28,,
32021,1,0,,,,
32023,6,51,5,17,,
32027,2,0,1,0,,
32031,115,1683,133,835,58,251
32033,4,31,1,0,,
32510,19,0,33,370,2,0
32999,4,121,2,0,1,0
33000,528,5907,177,1669,104,440
33001,25,258,6,0,1,0
33003,21,173,6,0,1,0
33005,23,252,7,51,,
33007,17,129,2,0,1,0
33009,60,459,8,0,1,0
33011,139,1529,49,444,29,0
33013,63,616,12,306,5,44
33015,110,1436,41,643,21,95
33017,43,480,11,74,5,37
33019,23,0,2,0,,
33999,5,0,34,94,40,96
34000,3225,50344,692,13251,545,7819
34001,86,740,8,36,11,61
34003,436,4464,105,1478,82,1239
34005,141,2990,49,5035,34,923
34007,132,2138,30,469,21,91
34009,47,467,7,16,,
34011,36,457,5,30,5,33
34013,257,3660,31,329,40,267
34015,81,1077,6,77,14,210
34017,183,12870,43,410,53,1258
34019,48,445,9,44,4,17
34021,160,2551,31,192,21,0
34023,302,4075,58,540,45,298
34025,276,2550,46,252,31,367
34027,241,2355,49,1400,23,203
34029,183,1836,24,446,16,130
34031,131,2333,31,691,25,181
34033,26,256,1,0,1,0
34035,145,1689,22,614,11,72
34037,53,400,4,0,1,0
34039,193,2068,32,599,16,100
34041,38,321,2,0,1,0
34999,32,605,102,576,92,0
35000,633,8184,494,2713,117,553
35001,191,3053,162,1025,50,397
35003,1,0,,,,
35005,26,341,15,52,,
35006,6,67,9,37,,
35007,12,0,1,0,,
35009,18,221,14,80,3,5
35011,1,0,,,,
35013,52,692,48,412,4,11
35015,25,330,11,28,,
35017,10,110,3,0,1,0
35019,4,14,,,,
35023,2,0,,,,
35025,22,241,12,26,4,6
35027,13,82,6,13,,
35028,9,206,,,,
35029,6,76,7,0,1,0
35031,12,0,30,198,2,0
35033,4,0,,,,
35035,19,283,11,25,,
35037,7,0,3,0,,
35039,7,66,7,19,,
35041,7,63,5,10,,
35043,31,241,19,0,5,0
35045,27,410,37,185,6,25
35047,8,170,10,54,,
35049,61,720,25,139,9,27
35051,6,40,3,7,,
35053,4,48,3,7,,
35055,13,119,3,0,3,0
35057,4,0,,,1,0
35059,2,0,,,,
35061,16,156,16,59,3,6
35999,10,38,37,256,26,36
36000,6488,112145,1358,32314,1623,21042
36001,164,1811,19,569,17,115
36003,22,124,,,,
36005,151,1524,47,192,160,877
36007,70,617,6,22,3,20
36009,34,0,,,1,0
36011,24,186,1,0,1,0
36013,60,487,2,0,1,0
36015,42,478,2,0,1,0
36017,21,0,,,,
36019,35,228,2,0,3,0
36021,27,191,3,0,2,0
36023,18,114,1,0,1,0
36025,20,0,2,0,,
36027,111,1460,4,16,11,42
36029,365,10190,53,1642,37,445
36031,15,133,,,,
36033,25,0,1,0,,
36035,13,121,2,0,1,0
36037,18,0,2,0,,
36039,24,195,2,0,2,0
36041,3,0,,,,
36043,23,146,,,,
36045,54,430,3,0,1,0
36047,395,4658,98,3990,236,1351
36049,11,50,,,,
36051,27,150,,,,
36053,23,0,2,0,,
